"record_id","source_row_no","source_record_sha256","release_slot","scheduled_release_at","area_no","area_nm","p_area_no","p_area_nm","top_area_no","top_area_nm","top_area_lvl","mgr_no","mgr_nm","mgr_dept_nm","mgr_pos_nm","mgr_hire_dtm","mgr_act_yn","area_reg_dtm","top_area_reg_dtm"
"153768","18","232525f3d317ad2acac2a72c282b53213e588eac0e2203cc54261e8ddf73bb38","1","2026-08-24T16:15:00+09:00","BIZ-40824","기획시스템","BIZ_00615","R&D	","BIZ_00615","R&D","1","EMP002043","조수아	","고객서비스팀","사원","2016-12-21 11:24:07.0","사용","2024.07.02 23:18:58","2020-04-24T06:52:52"
"153769","19","ca0944d05cc6698fc66d86831286e066f3e7bcfdca171cd0c6e3eb7d2a60caf1","1","2026-08-24T16:15:00+09:00","BIZ_45693","기획관리 40","biz_00759","마케팅	","BIZ_00759","마케팅","top_level","EMP001566","박수아","전 략기획팀","대리","2017/05/18 02:40:35","사용","2024-08-06 01:36:49","2016.04.10 16:37:10"
"153770","20","95ba46d2f8d6730bb2035e7796e71aad93eec4c07008dd5e859bc93ad5a8f903","1","2026-08-24T16:15:00+09:00","BIZ05247","마케팅플랫폼","BIZ-00742","분석"," BIZ_00742 ","분석","L1","emp002641","임 수아","기획팀","　차장　","20211031033902","사용","2025/05/07 07:21:08","20230414113535"
"153771","21","8917a2dc7967deb3a11a41efcba0a54d431fe36859b2cc60aa2675a1572ea044","1","2026-08-24T16:15:00+09:00","BIZ_11782","생산서비스 9"," BIZ_00606 ","기획	","biz-00606","기획	","top_level","emp000267","최주원","마케팅팀","기타","2022-10-13 05:19:21","사용"," 2022-06-07T16:19:50 ","2023.03.28 20:23:57"
"153772","22","5193c1efc902890d07be6fd7bf706f7d6f0627b821d9d556f65a408f607c15f9","1","2026-08-24T16:15:00+09:00","BIZ 21475","　분석부　","BIZ00777","　시설　","BIZ_00777","시설	","TOP_LEVEL","EMP001516"," 윤예은 ","시설관리팀","대리	","2025-03-17T11:42:22","y","2023-08-16T20:32:36","2021.01.29 13:01:37"
"153773","23","84ebc4c4e17b0bf9ee3e88f6ef72e49e0e4c6e6be0bb4970cca5f3478719b49c","1","2026-08-24T16:15:00+09:00","BIZ_38839","　교육프로세스　","BIZ00445","자산관리","BIZ 00445","자산관리	","최상위","EMP000508","김윤서","　품질관리팀　","대 리","2023-08-05T09:22:35","N","2018-11-26 18:13:54","2026/01/06 13:55:58"
"153774","24","a07913ab24b5ba430c5a8aac45b61fd2c566023ab9822dd5667d63e755d9f097","1","2026-08-24T16:15:00+09:00","BIZ_49132","물류분석","BIZ_00760","전략","BIZ_00760","전략","1","EMP001516","윤예은","시설관리팀","대리","2025/03/17 11:42:22","재직","2025-10-05 15:08:08.0","2025.12.28 17:09:53"
"153775","25","fe2d8129c95b5690aebaeeab885f833a59459c4b94a9aeb0fe9da664f8f27a81","1","2026-08-24T16:15:00+09:00"," BIZ_38720 ","분석플랫폼","BIZ_00478","교육","BIZ_00478","교육","최상위","EMP001607","","N/A","미상","2015/01/24 16:58:22","YES","20190130061128","20220514203428"
"153776","26","b5e7f7044cfef3d3a0eee288a04c903d43c264ef5e36af3375ba3c9bd12cb041","1","2026-08-24T16:15:00+09:00","BIZ_24391","재무관리 11","BIZ-00297","전략","biz-00297","전 략","최상위","EMP002483","이민서","인 사팀","과장","20220610183356","재직","2023-11-21T14:11:27","2017.04.11 16:20:22"
"153777","27","56a6b54c14e88d58733934b824e4429fe860edd17ac5ad86e6a679ca10f85b33","1","2026-08-24T16:15:00+09:00","biz_43103","마케팅서비스","BIZ_00699","법무","BIZ_00699","법무","L1","EMP-000269","　이예은　","교육운영팀","사원","2025-06-22T08:39:05","YES","2017/06/02 05:09:52","2022/10/30 20:32:25"
"153778","28","ef803e2338c45d4075e929bb7ef8662844f733882e780b80d069cad97269feee","1","2026-08-24T16:15:00+09:00","BIZ_25545","생산프로세스"," BIZ_00130 ","R&D","BIZ_00130","R&D","최상위","EMP000865","김도윤","마케팅팀","대리","20231010045905","사용","2018.10.15 09:36:25","2023-08-29T05:51:06"
"153779","29","2f62c29af7fab224bd3dd1aefef093e4efe5b7d92142f42054f882670ee11729","1","2026-08-24T16:15:00+09:00","BIZ_49659","물류부","BIZ_00579","전략","BIZ_00579","전략","TOP LEVEL","EMP001840","이지호"," R&D팀 ","부장","20180811205614","Y","2021-03-07 02:28:00","2016.05.14 01:18:10"
"153780","30","5997f42af8f6d211711c509d84980fb71fb7a52b700f59133694cbf6e8e400f6","1","2026-08-24T16:15:00+09:00","BIZ 47645","보안관리 36","biz-00734","물류	","BIZ-00734","물류	","최상위","emp000261","최서연","재 무팀","파트장","2025-04-19T23:56:42","사용","2017-05-19 16:23:16","2020-03-15T22:18:15"
"153781","31","51dc6b85113c930c648e54e74a3908d3a2357e14a545649fcab719178d0732f3","1","2026-08-24T16:15:00+09:00","biz_01824","법무플랫폼"," BIZ_00392 ","교육","biz_00392","교육","최상위","EMP001697","임민준","데이터팀","과장","2015-07-27 01:33:48.0","1","2021-09-01T16:54:02","2019.10.30 19:34:43"
"153782","32","b16ab21234287718e62c92c2beb5bf6f88e997235d05376981c09e7fa2f5d646","2","2026-08-24T16:18:00+09:00","BIZ_17016","품질관리시스템","BIZ 00286","전 략","BIZ_00286","전략","L1"," EMP001145 "," 강수아 ","분석팀"," 과장 ","2013.06.04 07:16:46","y","2018/05/28 21:45:09","2024-08-21 19:18:06"
"153783","33","78cd8826d54ca06938c0025cf8a68e2ad6a1a7e66feae1c64aa0786ca335783c","2","2026-08-24T16:18:00+09:00","BIZ 06287","자산관리운영  21","BIZ_00552","물류","biz_00552","물류","최상위","emp000798"," 조민서 ","물류팀"," 과장 ","2014-09-26 08:50:49.0","재직","2020/06/19 03:29:28","2020.02.22 16:30:23"
"153784","34","1582a446ee636c0d3bd2c296a148d300e1a2c937ca4f172515153bf9b52f99dc","2","2026-08-24T16:18:00+09:00","BIZ_39020","영업시스템 38","BIZ00042","데 이터","BIZ_00042","데이터	","top_level","emp002261","장시우","마케팅팀","차장","2020-07-16T19:57:43","1","2022-06-22 02:21:51","2021/11/23 01:40:38"
"153785","35","65d0a89e7369d190422fa76ae2d3c832c2a328458d0233cda836d869fd93e5b7","2","2026-08-24T16:18:00+09:00","BIZ_23762","자산관리서비스","BIZ_00049","물 류","BIZ_00049","물류","TOP_LEVEL","emp001503","장윤서","마케팅팀","차장","2021.03.08 07:36:49","사용","2024-06-10T01:55:51","2016-05-02T11:42:45"
"153786","36","2e5ecd7089ddf3c64d059bf4bc1d9ab0648bebce21201ccc40f3f37a92e30cac","2","2026-08-24T16:18:00+09:00","BIZ_31469"," 교육팀 11 ","BIZ_00028","법무","BIZ_00028","법무","L1","emp002176","조지훈","　IT운영팀　","　실장　","2015-10-12T03:55:56","미사용","2022-01-12 03:02:51","2024/04/20 03:12:26"
"153787","37","627b86a3ec166de52c22a2e9e5cdab0ac8181f5f425ce896d2ffbc7b88f9ac03","2","2026-08-24T16:18:00+09:00","biz_43527","고객서비스부"," BIZ_00201 ","시설","BIZ-00201","시 설","top_level","emp001536","이지우","　물류팀　","대 리","2012-09-06 11:28:30.0","1","2020.09.03 07:05:56","2023.02.07 15:45:35"
"153788","38","d740f353b827d197e929e1cd4271500e40874fd25d85dccc32c9436d6dccb207","2","2026-08-24T16:18:00+09:00","BIZ 09520","고객서비스플랫폼","BIZ_00842","법무"," BIZ_00842 ","법무	","TOP LEVEL","EMP001745","","N/A","미상","2021-01-29T18:14:58","사용","2026-04-09 20:51:44","2016-12-12 20:07:45"
"153789","39","0eaa6546a47ec97a21d49dfcddc77b23763d17414660df77b04c8b67b05e8c8c","2","2026-08-24T16:18:00+09:00","BIZ_41369","보안프로세스","biz_00008","R&D	","BIZ_00008","R&D	","TOP_LEVEL","EMP002569","최시우	","보안팀","대리","2020-04-09 00:18:04","사용","20200811060019","2022-03-18 10:18:24"
"153790","40","3314c5459b264df553b71bc0bbc616dfdfdfc0cab7a34bff75dd1d0bbece519c","2","2026-08-24T16:18:00+09:00","BIZ_48819","인사관리 40","BIZ-00699","법 무","BIZ_00699","법 무","TOP_LEVEL","EMP001857","김민준	","재 무팀"," 실장 ","2012-07-05 02:41:03","y","2020-05-21 15:54:13","2022.10.30 20:32:25"
"153791","41","66a2db96817bdb4ad676a559322bc3a7338301b69b10a97538b570e5bd8e3f70","2","2026-08-24T16:18:00+09:00","biz-07009","　인사분석　","biz_00737","품질관리","BIZ_00737","품질관리","1","EMP002342","최민준","인 사팀","　대리　","2015-04-09T09:39:33"," 재직 ","2019-08-24 19:10:49","2017-07-24 18:01:37.0"
"153792","42","e22f42faa041514abd47250347a10e80baffa4ab2ab54c4eb71512992031289a","2","2026-08-24T16:18:00+09:00","BIZ-34995","　영업분석　","biz_00981","영업","BIZ 00981","영업","TOP LEVEL","EMP000362","박 주원","법무팀","과장","2018/05/09 03:58:44","Y","2019-06-19T08:34:11","2019-08-21 02:25:45"
"153793","43","1c887a757d3e2673c9893d81a29c3a1cba41506ad433bda9fe080db55ab18ce2","2","2026-08-24T16:18:00+09:00","BIZ-45314","법무플랫폼","biz_00640","전략","BIZ_00640","전 략","TOP LEVEL","EMP000522","조준서","법무팀","　과장　","2025.05.13 00:44:16","1","2019-09-28 20:25:40.0"," 2023-03-31 13:27:46.0 "
"153794","44","a0e1ecd7b1bb206f4d2bcf93745d739c6a1b9d36a10e115d6412c0a554b6b563","2","2026-08-24T16:18:00+09:00","biz_06115","IT프로세스 45","biz_00234","IT","biz_00234"," IT ","1","EMP001123","　임하은　","물류팀","　과장　","9999-99-99 99:99:99","1","20170716212323","2025.04.28 12:26:18"
"153795","45","72e6e000926114218573367bcd1d37c0513934c552b78f4e12e354c8e5104dd2","2","2026-08-24T16:18:00+09:00","BIZ32075","인사서비스","BIZ_00694","분석	","BIZ_00694","분석","1","emp001872","이수아","　고객서비스팀　","팀장","2009-06-24T08:48:57","Y","2019-11-16T21:55:18","2018-08-12 21:28:27.0"
"153796","46","cfb7592ff91a5495a7184db1629a41d11a328b435f88d6e338ef41d377679fce","2","2026-08-24T16:18:00+09:00","BIZ_17844","법무분석 14","BIZ_00749","데이터","BIZ_00749"," 데이터 ","top_level","EMP000223","　박민준　","재무팀	","대리","2011.11.24 16:35:03","사용","2018.03.27 21:46:18","2024.04.10 11:51:47"
"153797","47","4ce79d4747ee9e02a3a0e8d252944765f1f5ed617071be1ccadbdc9cde19fe87","3","2026-08-24T16:21:00+09:00","BIZ 43359","구매부","BIZ_00480","재무"," BIZ_00480 ","재무","TOP LEVEL","EMP002200","정시우","고객서비스팀	","파트장","2021.10.27 06:50:31","미사용","2016/04/09 17:52:43","2024/09/02 14:29:57"
"153798","48","366fb0b657b8ecf5545ee8d1a24575d9cb0fb41a20f4d3befa65d7e25a4f0c9e","3","2026-08-24T16:21:00+09:00","BIZ_36046","전략플랫폼 30","BIZ_00794","R&D","biz_00794","R &D","1","emp001171","정예은","IT운영팀"," 과장 ","20090102053555","사용","2019-03-06 06:54:20","2018.02.22 17:50:15"
"153799","49","47d7dc03497a08c7529f08f24551ead8a4e125d1a95a2c74d69f1580cc27af0c","3","2026-08-24T16:21:00+09:00","BIZ 00728","데이터","-","N/A","BIZ_00728","데이터","L1","EMP002696"," 조민서 ","물 류팀","대리","2015-07-01 05:56:18","재직","2024.04.14 12:30:31","2017/09/07 00:40:18"
"153800","50","bd523701e26b7724f7fc92e3b8132efadbba1dce920cd9fd405b020887a18745","3","2026-08-24T16:21:00+09:00","BIZ_29720","재무시스템","BIZ_00208","　구매　","BIZ_00208","　구매　","1","EMP002317","","N/A","미상","2010/10/23 18:36:17"," Y ","2022/10/10 18:35:43","2025-12-05T13:08:15"
"153801","51","1d89da186da52efbdcdc04d1f00e63b9f8cedf33d9180231f887c94a48c6e600","3","2026-08-24T16:21:00+09:00","BIZ_34266","시설팀 26"," BIZ_00680 ","재무","BIZ_00680","　재무　","최상위","EMP001908","이준서","분석팀","부장	","20260316025441","YES","2019-07-07 08:24:17","2025-12-04 10:48:05"
"153802","52","9b1821d95af134877845f827e0f46596dfa2d5613eec4d313b95044dfd3093a8","3","2026-08-24T16:21:00+09:00","BIZ_12468","구매운영","BIZ-00307","품질관리","biz_00307","품질관리","TOP_LEVEL","EMP001459","최서연","구매팀	","　팀장　","2014/03/27 21:43:29","재직","2023/11/27 03:12:36","2025-04-27 12:40:34"
"153803","53","76ca3f18e91269b9bce892c67dc1af8af4bf99e63d18a01950922e9629ebcc92","3","2026-08-24T16:21:00+09:00","BIZ 20060","마케팅팀 19","BIZ_00745","　품질관리　","BIZ_00745"," 품질관리 ","TOP_LEVEL","EMP001174","조지민","　물류팀　","　팀장　"," 2016-08-16 20:07:30.0 ","Y","2018-02-08 13:07:12","2016-01-18 06:49:12"
"153804","54","0dcb986161aa63879dc61284b1a7ecaa328666362b523ad8a0ec553fafce5154","3","2026-08-24T16:21:00+09:00","BIZ 38515","구매서비스","BIZ_00870","기획	","BIZ_00870","기획","TOP LEVEL","EMP000137","임민준","데이터팀	","실장","2013-07-18 23:48:22","y","20241106112253","20191231014619"
"153805","55","605523ccec0ebde2c903d783721463060b9a0dc77659699132a36d5f051832f8","3","2026-08-24T16:21:00+09:00","BIZ34670","　IT관리　","BIZ_00378","기획","BIZ_00378","기획","1","EMP002163","김윤서","분석팀","팀장","2020/04/12 03:48:29","Y","2016-08-01T08:40:46","2025-09-17 13:16:49"
"153806","56","ffd92d1b24f095e87a3d10d338644f374da125a5c37a01ea65d35b5e8442ceae","3","2026-08-24T16:21:00+09:00","BIZ_28551","시설분석","BIZ00550"," 보안 ","biz_00550","보안","top_level","EMP-002748","임예준"," 물류팀 ","차장","2025.08.21 13:49:54","YES","2025/01/17 23:55:03","20220228095013"
"153807","57","58ddc87b7dacb2608060607373af28905465d4242c8e25e31ee0412622b49b3c","3","2026-08-24T16:21:00+09:00","BIZ_28662","자산관리분석","BIZ_00106","시 설","BIZ_00106","시 설","top_level","EMP000656","이민서","고 객서비스팀","대리","2009-07-11 08:14:31","사용","2021-08-10 01:03:22","2021.07.07 08:52:04"
"153808","58","ab5b2a45506754b647069d6aff5e2edf8196603d4a8b17fdd9081104a59079ca","3","2026-08-24T16:21:00+09:00","BIZ_09875","영업시스템 29","BIZ_00226","인사","BIZ_00226","인 사","1","EMP000810","장지우","영업팀","　부장　","2011-02-19 09:19:19"," 재직 ","2021/08/08 22:28:29","20210126185025"
"153809","59","45a7b41ae8e62014d8a54777beb4be08bec26b28c5ba0aa8f5745ff0efe47b5a","3","2026-08-24T16:21:00+09:00","BIZ-00331","데이터","N/A","","BIZ00331","데이터","top_level","EMP000881","장서준","품질관리팀","차장","2015-01-15T06:54:32","YES","2026-05-15 13:35:58","2024-11-09T18:51:47"
"153810","60","a8ca2458debf14694568867d2f19ceae01634e782b2b4849b096c1b03a1b4546","3","2026-08-24T16:21:00+09:00","BIZ_12287","시설플랫폼","BIZ_00305","법무	","BIZ 00305","법무","최상위","EMP001144","　정예준　","물류팀","파트장	","2012.10.20 08:43:52"," 미사용 ","2024-09-05 02:59:38.0","2018/05/30 20:34:07"
"153811","61","b59bc31a5aeca1c81dd94bd1603b0d1d86b752f38a811cc81b992b34059f7c4b","3","2026-08-24T16:21:00+09:00","BIZ 01360","구매부 15","BIZ_00046","NULL","BIZ_00046","마케팅	","TOP LEVEL","EMP001852","윤민서"," 품질관리팀 ","실장","2021/08/15 20:35:01","NO","20200601004312","2018-09-05T00:31:03"
"153812","62","5485c3845b8f7f124b247b029ad9875ba57e12f5e8714f9e12594fb4212dcc9c","3","2026-08-24T16:21:00+09:00","BIZ_05309","품질관리분석","BIZ_00080","품질관리","BIZ00080","품질관리","L1"," EMP002687 ","이지우","분 석팀","차 장","2024-07-20 18:27:47","사용","2025.10.25 19:43:11","2019-02-28 23:49:09"
"153813","63","2dfd7b2aee3f2b4b7a20cf820419aa399f73693214db3145d42d7b3fdb0f64df","4","2026-08-24T16:24:00+09:00","BIZ 19034","영업프로세스 46","BIZ_00440"," 분석 ","biz-00440","분석","1","EMP-002704","윤윤서","R&D팀"," 파트장 ","2020-07-14 02:35:29.0","1","2023-02-14 22:42:13","2016-09-07 06:56:07.0"
"153814","64","2e1d068c119f8395b22a09c296c1a610b880a72180390830df26f0427a2daaf9","4","2026-08-24T16:24:00+09:00","BIZ27044","품질관리부","BIZ00167","재무","biz_00167","재무","1","EMP000113","정지우","고객서비스팀","대 리","20120325010743","Y","2017.04.21 04:38:58","20240516020938"
"153815","65","a6c8d9820b96923bb2a4e25a097a6ab4178255ddab66823e12e3910e235626ed","4","2026-08-24T16:24:00+09:00","BIZ_11530","고객서비스팀","BIZ00089","시설"," BIZ_00089 ","시설","L1","emp001253","장수아","시설관리팀","팀장"," 2018-06-01 06:15:21 ","YES","2016/03/03 06:20:01","20160229233447"
"153816","66","6a207b4f8d61747a116cd65c2f1eac7da46d9d3b929990a38d47f4fe0fbe87d4","4","2026-08-24T16:24:00+09:00","BIZ_09947","IT분석","BIZ_00693","자산관리","BIZ_00693","자산관리	","top_level","EMP 000524","이서준","마케팅팀	","과장","2018-08-04 02:11:14","재직","2025-12-26 21:26:07.0","2020/08/10 11:33:52"
"153817","67","6a448bcf2f246d1e211a0656723ebfd66ce560174884c91cf3265201e02626b9","4","2026-08-24T16:24:00+09:00","BIZ-46304","전략시스템","BIZ_00987","생 산","BIZ 00987","생산	","1","EMP002266","박 지우","인사팀	","　팀장　","2024.11.24 08:52:22","재직","2025.08.06 21:16:45","2018-12-27 13:56:28.0"
"153818","68","158ba42aebe404cf56d698ba76c634065c2dcd857288d39373a79449e1519b52","4","2026-08-24T16:24:00+09:00"," BIZ_40124 ","데이터분석","biz-00501","인사","BIZ_00501","인사","최상위","emp001411","　조시우　","기획팀","과장"," 2026-04-12T22:30:56 ","Y","2024-12-04 20:29:23.0","20160725065307"
"153819","69","0ae6fc1182d4b84e4c61ff2e311e7ab45551a44e0426ecdefc66e25912576430","4","2026-08-24T16:24:00+09:00","BIZ_33709","전략분석  28","BIZ_00726","　생산　","BIZ_00726","생산","L1","EMP-001981","이하은"," 데이터팀 ","부장","2021-07-20 05:02:46","재직","20230203064603","2017-02-21T18:34:45"
"153820","70","4e948bf9b406beb2f0ba6f208deba43cc9546da1888c937f47fd1342324bfa7a","4","2026-08-24T16:24:00+09:00","BIZ_31146"," 분석서비스 15 ","BIZ_00707","품질관리","BIZ00707","품질관리","1","EMP000279","정하은","데이터팀	","차 장","2012.04.14 07:53:24","재직","2019-05-07 16:48:55","2023.09.24 13:35:19"
"153821","71","094664baabc2629b45d288d1261c58f024e59d6a9c70c2a134d422b1ba14d11b","4","2026-08-24T16:24:00+09:00","BIZ-30316","법무분석 36","biz-00793","생산"," BIZ_00793 ","생 산","최상위","emp000616"," 최서연 ","생 산팀","파트장	","2021.03.19 01:36:03"," 재직 ","2022-01-12 15:18:44","2024-06-24 22:03:08.0"
"153822","72","6e07ec60fd582515dfe6dd242b73bbcfaf18549d4ca8b2873c25b402f58f43fe","4","2026-08-24T16:24:00+09:00","BIZ_03811","마케팅관리","BIZ 00226","미상","BIZ_00226"," 인사 ","TOP_LEVEL","EMP002585","　임준서　","재무팀	","사원","2012.01.18 08:59:21","재직","2017-04-16 20:57:56","2021-01-26 18:50:25.0"
"153823","73","104c35b6c87e334d4fb272c0b5292893d7e74c40f8017c2819d6c92f178e12de","4","2026-08-24T16:24:00+09:00","biz_33100"," 데이터프로세스 19 ","BIZ_00027","R&D","BIZ_00027","R&D","top_level","emp001192","　김하은　","　전략기획팀　","　실장　","2021/01/23 00:03:41","YES","20161224164955","2016-09-29T14:07:04"
"153824","74","0935fe85c63513c8e32d2717d7643c493cab7aee8df5dd2493411239eb0f1fbc","4","2026-08-24T16:24:00+09:00","biz_26267","전략서비스","biz-00293","IT","BIZ_00293","　IT　","최상위","EMP000570","장시우	","데이터팀","팀장","2020.05.29 05:20:22"," Y ","2018-02-05T09:32:11","20171111002246"
"153825","75","e5afae57f95bb3f9bc21709bd323b627c8a48a4f0b4494ad9384a0c70b11bacc","4","2026-08-24T16:24:00+09:00","BIZ_26588","시설관리","BIZ00914","기획","BIZ 00914","기획","TOP LEVEL"," EMP002986 ","최지민","품질관리팀","부장","2016-07-12T09:48:11","사용","2019.01.31 22:04:19","2022.05.10 01:35:02"
"153826","76","0f2dab66e1a6c7aea7fc71f0b4fa7396508166cf5df7744b4d5eff7c54229f0a","4","2026-08-24T16:24:00+09:00","BIZ_10307","재무플랫폼","BIZ00965","　재무　","BIZ_00965","재무","TOP_LEVEL","EMP001068","최하은"," 마케팅팀 "," 부장 ","2026/03/27 14:38:09","Y","2023-10-26 06:05:14.0","2016/08/17 12:31:54"
"153827","77","9d6e4f840ad2bbbc2f3487003f6e4ce5795817cf9924dc85efc323434b460716","4","2026-08-24T16:24:00+09:00","BIZ48680","인사플랫폼","BIZ_00322","R&D","BIZ_00322","R &D","TOP LEVEL","emp000641","박예준","기 획팀","　파트장　","20160519192422","1","2023-02-17 15:45:11","2025.12.02 06:10:15"
"153828","78","9573cdc808949343be9fec3258ce013a3f92737e8d1a15f94bd25155e6489064","5","2026-08-24T16:27:00+09:00","biz-08511","구매프로세스 42","BIZ_00259","품질관리","BIZ_00259"," 품질관리 ","1","EMP001615","박지훈","보안팀","실장","2014.11.12 05:50:08"," 미사용 ","2021-06-05T18:32:59","2021-04-12 13:28:55.0"
